Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
21689560,25,14.69,-1.76,4.34
21750592,25,14.69,-1.76,4.41
21811624,25,14.69,-1.76,4.46
21872668,25,14.69,-1.76,4.49
21933696,25,14.69,-1.76,4.59
21994736,25,14.69,-1.76,4.59
22055776,25,14.69,-1.76,4.64
22116828,25,14.69,-1.76,4.69
22177884,25,14.69,-1.76,4.62
22238920,25,14.69,-1.76,4.48
22299980,25,14.69,-1.76,4.84
22361020,25,14.69,-1.76,4.69
22422072,25,14.69,-1.76,4.89
22483120,25,14.69,-1.76,4.93
22544160,25,14.69,-1.76,5.01
22605200,25,14.69,-1.76,4.86
22666256,25,14.69,-1.20,4.96
22727292,25,14.69,-1.20,4.95
22788352,25,14.69,-1.20,5.10
22849404,25,14.69,-1.20,5.06
22910456,25,14.69,-1.20,5.06
22971512,25,14.69,-1.20,5.09
23032560,25,14.69,-1.20,5.02
23093620,25,14.69,-1.20,5.13
23154680,25,14.69,-1.20,5.16
23215736,25,14.69,-1.20,5.22
23276804,25,14.69,-1.20,5.24
23337852,25,14.69,-1.20,5.39
23398924,25,15.28,-1.20,5.35
23459972,25,15.28,-1.20,5.46
23521024,25,15.28,-1.20,5.54
23582084,25,15.28,-1.20,5.25
23643140,25,15.28,-1.20,5.52
23704188,25,15.28,-1.20,5.45
23765256,25,15.28,-1.20,5.60
23826300,25,15.28,-1.20,5.48
23887376,25,15.28,-1.20,5.58
23948432,25,15.28,-1.20,5.62
24009472,25,15.28,-1.20,5.65
24070544,25,15.28,-1.20,5.65
24131600,25,15.28,-1.20,5.65
24192644,25,15.28,-1.20,5.76
24253712,25,15.28,-1.20,5.89
24314756,25,15.28,-1.20,5.87
24375816,25,15.28,-1.20,5.85
24436868,25,15.28,-1.20,5.98
24497916,25,15.28,-1.20,6.06
24558976,25,15.28,-1.20,5.92
24620028,25,15.28,-1.20,5.90
24681084,25,15.28,-1.20,5.98
24742152,25,15.28,-1.20,6.00
24803204,25,15.28,-1.20,6.05
24864260,25,15.28,-1.20,6.10
24925308,25,15.28,-1.20,6.10
24986360,25,15.28,-1.20,6.25
25047428,25,15.78,-1.20,6.19
25108496,25,15.78,-1.20,6.19
25169548,25,15.78,-1.20,6.14
25230604,25,15.78,-1.20,6.32
25291656,25,15.78,-1.20,6.35
25352716,25,15.78,-1.20,6.21
25413772,25,15.78,-1.20,6.46
25474824,25,15.78,-1.20,6.56
25535884,25,15.78,-1.20,6.56
25596952,25,15.78,-1.20,6.50
25658008,25,15.78,-1.20,6.33
25719064,25,15.78,-1.20,6.57
25780124,25,15.78,-1.20,6.63
25841196,25,15.78,-1.20,6.48
25902256,25,15.78,-1.20,6.72
25963300,25,15.78,-1.20,6.66
26024368,25,15.78,-1.20,6.84
26085424,25,15.78,-1.20,6.91
26146476,25,15.78,-1.20,6.76
26207544,25,15.78,-1.20,6.91
26268592,25,15.78,-1.20,6.76
26329652,25,15.78,-1.20,6.91
26390708,25,16.35,-1.20,6.86
26451760,25,16.35,-1.20,6.88
26512824,25,16.35,-1.20,6.90
26573888,25,16.35,-1.20,6.99
26634936,25,16.35,-1.20,6.99
26696004,25,16.35,-1.20,7.14
26757056,25,16.35,-1.20,7.06
26818120,25,16.35,-1.20,7.01
26879168,25,16.35,-1.20,7.27
26940224,25,16.35,-1.20,7.22
27001288,25,16.35,-1.20,7.12
27062340,25,16.35,-1.20,7.33
27123396,25,16.35,-1.20,7.27
27184464,25,16.35,-1.20,7.39
27245508,25,16.35,-1.20,7.30
27306576,25,16.35,-1.20,7.28
27367632,25,16.35,-1.20,7.33
27428676,25,16.35,-1.20,7.47
27489732,25,16.35,-1.20,7.28
27550780,25,16.35,-1.20,7.36
27611816,25,16.35,-1.20,7.56
27672872,25,16.35,-1.20,7.53
27733916,25,16.35,-1.20,7.61
27794956,25,16.35,-1.20,7.67
27856008,25,16.35,-1.20,7.60
27917048,25,16.35,-1.20,7.68
27978096,25,16.86,-1.20,7.79
28039136,25,16.86,-1.20,7.74
28100188,25,16.86,-1.20,7.80
28161236,25,16.86,-1.20,7.69
