Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
19009192,25,6.20,-4.11,3.82
19070272,25,6.20,-4.11,3.99
19131344,25,6.20,-4.11,3.81
19192416,25,6.20,-4.11,4.19
19253500,25,6.20,-4.11,3.99
19314576,25,6.20,-4.11,4.19
19375648,25,6.20,-4.11,4.24
19436724,25,6.20,-4.11,4.23
19497792,25,6.20,-4.11,4.12
19558880,25,6.20,-4.11,4.04
19619956,25,6.20,-4.11,4.21
19681024,25,6.74,-4.11,4.28
19742120,25,6.74,-4.11,4.41
19803188,25,6.74,-4.11,4.33
19864264,25,6.74,-4.11,4.36
19925352,25,6.74,-4.11,4.38
19986420,25,6.74,-4.11,4.41
20047484,25,6.74,-4.11,4.39
20108572,25,6.74,-4.11,4.57
20169636,25,6.74,-4.11,4.55
20230712,25,6.74,-4.11,4.62
20291764,25,6.74,-4.11,4.63
20352820,25,6.74,-4.11,4.77
20413888,25,6.74,-4.11,4.69
20474944,25,6.74,-4.11,4.52
20535988,25,6.74,-4.11,4.83
20597052,25,6.74,-4.11,4.71
20658100,25,6.74,-4.11,4.78
20719168,25,6.74,-4.11,4.79
20780224,25,6.74,-4.11,4.87
20841276,25,6.74,-4.11,4.89
20902352,25,6.74,-4.11,4.82
20963416,25,6.74,-4.11,5.18
21024480,25,6.74,-4.11,5.12
21085556,25,6.74,-4.11,5.02
21146616,25,6.74,-4.11,5.06
21207692,25,6.74,-4.11,5.19
21268764,25,6.74,-4.11,5.11
21329824,25,6.74,-4.11,5.12
21390896,25,6.74,-4.11,5.29
21451976,25,6.74,-4.11,5.25
21513040,25,6.74,-4.11,5.36
21574120,25,6.74,-4.11,5.38
21635192,25,6.74,-4.11,5.47
21696252,25,6.74,-4.11,5.32
21757328,25,6.74,-4.11,5.40
21818396,25,6.74,-4.11,5.45
21879468,25,6.74,-4.11,5.53
21940544,25,6.74,-4.11,5.56
22001604,25,6.74,-4.11,5.64
22062672,25,6.74,-4.11,5.67
22123740,25,6.74,-4.11,5.54
22184788,25,7.24,-4.11,5.69
22245848,25,7.24,-4.11,5.70
22306912,25,7.24,-4.11,5.85
22367964,25,7.24,-4.11,5.90
22429048,25,7.24,-4.11,5.79
22490108,25,7.24,-4.11,5.94
22551180,25,7.24,-4.11,5.97
22612256,25,7.24,-4.11,5.83
22673320,25,7.24,-4.11,5.98
22734400,25,7.24,-4.11,5.82
22795468,25,7.24,-4.11,6.02
22856532,25,7.24,-4.11,6.16
22917612,25,7.24,-4.11,6.00
22978692,25,7.24,-4.11,6.16
23039756,25,7.24,-4.11,6.17
23100832,25,7.24,-4.11,6.27
23161912,25,7.24,-4.11,6.20
23222968,25,7.24,-4.11,6.31
23284032,25,7.24,-4.11,6.30
23345080,25,7.24,-4.11,6.31
23406144,25,7.24,-4.11,6.27
23467208,25,7.24,-4.11,6.45
23528264,25,7.24,-4.11,6.41
23589328,25,7.24,-4.11,6.55
23650388,25,7.24,-4.11,6.42
23711436,25,7.24,-4.11,6.54
23772500,25,7.78,-4.11,6.51
23833556,25,7.78,-4.11,6.63
23894620,25,7.78,-4.11,6.69
23955684,25,7.78,-4.11,6.62
24016728,25,7.78,-4.11,6.60
24077792,25,7.78,-4.11,6.78
24138848,25,7.78,-4.11,6.76
24199892,25,7.78,-4.11,6.72
24260948,25,7.78,-4.11,6.98
24321984,25,7.78,-4.11,6.82
24383024,25,7.78,-4.11,7.04
24444068,25,7.78,-4.11,6.95
24505108,25,7.78,-4.11,6.84
24566168,25,7.78,-3.54,6.77
24627224,25,7.78,-3.54,7.08
24688264,25,7.78,-3.54,6.88
24749332,25,7.78,-3.54,7.01
24810384,25,7.78,-3.54,7.16
24871468,25,7.78,-3.54,7.17
24932540,25,7.78,-3.54,6.99
24993600,25,7.78,-3.54,7.12
25054668,25,7.78,-3.54,7.23
25115736,25,7.78,-3.54,7.15
25176800,25,7.78,-3.54,7.17
25237876,25,7.78,-3.54,7.26
25298932,25,7.78,-3.54,7.37
25360000,25,7.78,-3.54,7.26
25421076,25,7.78,-3.54,7.39
25482148,25,7.78,-3.54,7.39
25543224,25,7.78,-3.54,7.42
25604284,25,7.78,-3.54,7.43
25665348,25,7.78,-3.54,7.53
25726424,25,7.78,-3.54,7.54
25787488,25,7.78,-3.54,7.54
25848556,25,7.78,-3.54,7.54
25909632,25,7.78,-3.54,7.49
25970708,25,7.78,-3.54,7.64
26031764,25,7.78,-3.54,7.59
26092836,25,7.78,-3.54,7.60
26153900,25,7.78,-3.54,7.57
26214972,25,7.78,-3.54,7.70
26276044,25,7.78,-3.54,7.69
26337112,25,7.78,-3.54,7.85
26398172,25,8.30,-3.54,7.82
26459228,25,8.30,-3.54,7.85
26520268,25,8.30,-3.54,7.84
26581328,25,8.30,-3.54,7.97
26642380,25,8.30,-3.54,7.87
26703440,25,8.30,-3.54,7.87
26764492,25,8.30,-3.54,8.04
26825536,25,8.30,-3.54,7.89
26886600,25,8.30,-3.54,7.98
26947656,25,8.30,-3.54,8.08
27008696,25,8.30,-3.54,8.09
27069756,25,8.30,-3.54,8.18
27130808,25,8.30,-3.54,8.10
27191876,25,8.30,-3.54,8.15
27252932,25,8.30,-3.54,8.20
27313976,25,8.30,-3.54,8.17
27375052,25,8.30,-3.54,8.38
27436124,25,8.30,-3.54,8.32
27497180,25,8.30,-3.54,8.31
27558244,25,8.30,-3.54,8.29
27619300,25,8.30,-3.54,8.26
27680372,25,8.30,-3.54,8.42
27741448,25,8.30,-3.54,8.44
27802508,25,8.30,-3.54,8.39
27863584,25,8.30,-3.54,8.54
27924656,25,8.30,-3.54,8.58
27985712,25,8.30,-3.54,8.43
28046784,25,8.30,-3.54,8.56
28107868,25,8.30,-3.54,8.69
28168932,25,8.30,-3.54,8.64
28230000,25,8.30,-3.54,8.62
28291060,25,8.30,-3.54,8.61
28352132,25,8.30,-3.54,8.62
28413200,25,8.30,-3.54,8.77
28474248,25,8.82,-3.54,8.71
28535304,25,8.82,-3.54,8.67
28596368,25,8.82,-3.54,8.90
28657420,25,8.82,-3.54,8.75
28718476,25,8.82,-3.54,8.86
28779536,25,8.82,-3.54,8.99
28840584,25,8.82,-3.54,8.79
28901636,25,8.82,-3.54,8.77
28962692,25,8.82,-3.54,8.77
29023760,25,8.82,-3.54,9.01
29084824,25,8.82,-3.54,9.04
29145888,25,8.82,-3.54,8.97
29206972,25,8.82,-3.54,8.91
29268036,25,8.82,-3.54,8.84
29329096,25,8.82,-3.54,9.00
29390168,25,8.82,-3.54,9.23
29451216,25,8.82,-3.54,9.14
29512280,25,8.82,-3.54,8.99
29573340,25,8.82,-3.54,9.06
29634384,25,8.82,-3.54,9.22
29695444,25,8.82,-3.54,9.20
29756504,25,8.82,-3.54,9.15
29817544,25,8.82,-3.54,9.14
29878608,25,8.82,-3.54,9.19
29939664,25,8.82,-3.54,9.20
30000724,25,8.82,-3.54,9.20
30061792,25,8.82,-3.54,9.22
30122848,25,8.82,-3.54,9.14
30183932,25,8.82,-3.54,9.20
30244992,25,8.82,-3.54,9.35
30306052,25,8.82,-3.54,9.16
30367132,25,8.82,-3.54,9.10
30428192,25,8.82,-3.54,9.31
30489252,25,8.82,-3.54,9.22
30550332,25,8.82,-3.54,9.16
30611392,25,8.82,-3.54,9.16
30672472,25,8.82,-3.54,9.23
30733544,25,8.82,-3.54,9.19
30794604,25,8.82,-3.54,9.18
30855684,25,8.82,-3.54,9.21
30916748,25,8.82,-3.54,9.27
30977816,25,9.40,-3.54,9.22
31038880,25,9.40,-3.54,9.26
31099952,25,9.40,-3.54,9.17
31161008,25,9.40,-3.54,9.45
31222088,25,9.40,-3.54,9.27
31283148,25,9.40,-3.54,9.38
31344220,25,9.40,-3.54,9.52
31405292,25,9.40,-3.54,9.41
31466352,25,9.40,-3.54,9.49
31527436,25,9.40,-3.54,9.50
31588504,25,9.40,-3.54,9.33
31649568,25,9.40,-3.54,9.41
31710640,25,9.40,-3.54,9.46
31771696,25,9.40,-3.54,9.28
31832740,25,9.40,-3.54,9.45
31893800,25,9.40,-3.54,9.41
31954844,25,9.40,-3.54,9.27
32015908,25,9.40,-3.54,9.45
32076968,25,9.40,-3.54,9.49
32138028,25,9.40,-3.54,9.27
32199108,25,9.40,-3.54,9.49
32260176,25,9.40,-3.54,9.25
32321232,25,9.40,-3.54,9.40
32382308,25,9.40,-3.54,9.31
32443364,25,9.40,-3.54,9.18
32504420,25,9.40,-3.54,9.37
32565488,25,9.40,-3.54,9.21
32626548,25,9.40,-3.54,9.26
32687628,25,9.40,-3.54,9.15
32748692,25,9.40,-3.54,9.42
32809764,25,9.40,-3.54,9.19
32870832,25,9.40,-3.54,9.27
32931908,25,9.40,-3.54,9.22
32992976,25,9.40,-3.54,9.36
33054044,25,9.40,-3.54,9.44
33115100,25,9.40,-3.54,9.35
33176160,25,9.40,-3.54,9.33
33237236,25,9.40,-3.54,9.44
33298308,25,9.40,-3.54,9.44
33359388,25,9.40,-3.54,9.38
33420468,25,9.40,-3.54,9.31
33481536,25,9.40,-3.54,9.53
33542616,25,9.40,-3.54,9.24
33603696,25,9.40,-3.54,9.41
33664768,25,9.40,-3.54,9.31
