Two axis displacement sensor detected
Tareing....
time(us),power(pwm/255),position(deg),force(grams)
14360292,25,3.94,-2.11,7.94
14421336,25,3.94,-2.11,8.02
14482352,25,3.94,-2.11,8.05
14543396,25,3.94,-2.11,8.14
14604428,25,3.94,-2.11,8.12
14665460,25,3.94,-2.11,8.15
14726508,25,3.94,-2.11,8.25
14787552,25,3.94,-2.11,8.24
14848604,25,3.94,-2.11,8.37
14909656,25,3.94,-2.11,8.33
14970688,25,3.94,-2.11,8.35
15031740,25,3.94,-2.11,8.52
15092776,25,3.94,-2.11,8.31
15153804,25,3.94,-2.11,8.50
15214860,25,3.94,-2.11,8.50
15275884,25,3.94,-2.11,8.57
15336936,25,3.94,-2.11,8.52
15397976,25,3.94,-2.11,8.48
15459016,25,3.94,-2.11,8.52
15520060,25,3.94,-2.11,8.47
15581092,25,3.94,-2.11,8.59
15642136,25,3.94,-2.11,8.71
15703164,25,3.94,-2.11,8.69
15764188,25,3.94,-2.11,8.79
15825224,25,3.94,-2.11,8.75
15886240,25,3.94,-2.11,8.89
15947276,25,3.94,-2.11,8.81
16008304,25,3.94,-2.11,9.04
16069320,25,3.94,-2.11,8.96
16130368,25,3.94,-2.11,9.01
16191376,25,3.94,-2.11,8.99
16252428,25,3.94,-2.11,8.82
16313464,25,3.94,-2.11,9.04
16374500,25,3.94,-2.11,9.15
16435560,25,3.94,-2.11,9.01
16496600,25,3.94,-2.11,9.30
16557660,25,3.94,-2.11,9.25
16618708,25,3.94,-2.11,9.20
16679744,25,3.94,-2.11,9.20
16740808,25,3.94,-2.11,9.26
16801860,25,3.94,-2.11,9.28
16862908,25,3.94,-2.11,9.38
16923964,25,3.94,-2.11,9.51
16985004,25,3.94,-2.11,9.50
17046064,25,3.94,-2.11,9.49
17107112,25,3.94,-2.11,9.57
17168152,25,4.47,-2.11,9.59
17229204,25,4.47,-2.11,9.76
17290256,25,4.47,-0.59,9.50
17351292,25,4.47,1.72,9.59
17412336,25,4.47,0.66,9.55
17473384,25,4.47,-1.88,9.63
17534444,25,4.47,-2.69,9.82
17595512,25,4.47,-2.69,9.61
17656552,25,4.47,-2.69,9.94
17717604,25,4.47,-2.19,9.76
17778644,25,4.47,-2.19,9.82
17839688,25,4.47,-2.19,9.90
17900724,25,4.47,-2.19,9.92
17961740,25,4.47,-2.19,9.97
18022788,25,4.47,-2.19,10.09
18083808,25,4.47,-2.19,10.17
18144848,25,4.47,-2.19,10.11
18205868,25,4.47,-2.19,10.06
18266896,25,4.47,-2.19,10.07
18327928,25,4.47,-2.19,10.08
18388936,25,4.47,-2.19,10.15
18449964,25,4.47,-2.19,10.19
18510976,25,4.47,-2.19,10.25
18571992,25,4.47,-2.19,10.42
18633016,25,4.47,-2.19,10.43
18694024,25,4.47,-2.19,10.39
18755060,25,4.47,-2.19,10.37
18816100,25,4.47,-2.19,10.43
18877124,25,4.47,-2.19,10.45
18938164,25,4.47,-2.19,10.52
18999184,25,4.47,-2.19,10.54
19060224,25,4.47,-2.19,10.49
19121252,25,4.47,-2.19,10.56
19182276,25,4.47,-2.19,10.52
19243316,25,4.47,-2.19,10.56
19304352,25,4.47,-2.19,10.74
19365396,25,4.47,-2.19,10.67
19426436,25,4.99,-2.19,10.61
19487484,25,4.99,-2.19,10.81
19548528,25,4.99,-2.19,10.73
19609568,25,4.99,-2.19,10.95
19670624,25,4.99,-2.19,10.78
19731660,25,4.99,-2.19,10.95
19792696,25,4.99,-2.19,11.00
19853756,25,4.99,-2.19,10.96
19914792,25,4.99,-2.19,11.10
19975824,25,4.99,-2.19,11.05
20036876,25,4.99,-2.19,11.17
20097908,25,4.99,-2.19,11.03
20158932,25,4.99,-2.19,11.15
20219960,25,4.99,-2.19,11.18
20280972,25,4.99,-2.19,11.11
20341980,25,4.99,-2.19,11.31
20402992,25,4.99,-2.19,11.33
20464024,25,4.99,-2.19,11.28
20525060,25,4.99,-2.19,11.29
20586088,25,4.99,-2.19,11.27
20647128,25,4.99,-2.19,11.41
20708152,25,4.99,-2.19,11.47
20769200,25,4.99,-2.19,11.33
20830248,25,4.99,-2.19,11.47
20891292,25,4.99,-2.19,11.46
20952344,25,4.99,-2.19,11.53
21013384,25,4.99,-2.19,11.73
21074436,25,4.99,-2.19,11.72
21135472,25,4.99,-2.19,11.52
21196500,25,4.99,-2.19,11.68
21257544,25,4.99,-2.19,11.58
21318572,25,4.99,-2.19,11.78
21379608,25,4.99,-2.19,11.88
21440648,25,4.99,-2.19,11.70
21501676,25,4.99,-2.19,11.70
21562716,25,4.99,-2.19,11.92
21623744,25,4.99,-2.19,11.79
21684788,25,4.99,-2.19,11.78
21745816,25,5.51,-2.19,11.89
21806840,25,5.51,-2.19,11.94
21867888,25,5.51,-2.19,11.84
21928916,25,5.51,-2.19,11.96
21989964,25,5.51,-2.19,11.90
22050996,25,5.51,-2.19,12.13
22112036,25,5.51,-2.19,12.23
22173088,25,5.51,-2.19,12.08
22234136,25,5.51,-2.19,12.10
22295176,25,5.51,-2.19,12.09
22356228,25,5.51,-2.19,12.15
22417264,25,5.51,-2.19,12.21
22478312,25,5.51,-2.19,12.30
